Station;NOM CRM
La Garde-Freinet;0
La Giettaz;LA GIETTAZ
LA GRANDE MOTTE;LA GRANDE MOTTE
La Grande-Motte ;LA GRANDE MOTTE
La Grave - La Meije;0
La Joue du Loup;LA JOUE DU LOUP
LA LONDE LES MAURES;LA LONDE LES MAURES
La Môle;0
La Mongie;LA MONGIE
La Motte Servolex;0
La Norma;LA NORMA
La Plagne;LA PLAGNE
La Plagne - Belle Plagne;BELLE PLAGNE
La Plagne - Les Coches;MONTCHAVIN LA PLAGNE
La Plagne - Montchavin;MONTCHAVIN LA PLAGNE
La Plagne - Plagne 1800;PLAGNE 1800
La Plagne - Plagne Aime 2000;AIME 2000
La Plagne - Plagne Bellecote;PLAGNE BELLECOTE
La Plagne - Plagne Centre;PLAGNE CENTRE
La Plagne - Plagne Montalbert;MONTALBERT
La Plagne - Plagne Villages / Plagne Soleil;PLAGNE VILLAGE ET SOLEIL
La Rosière;LA ROSIERE
La Rosière Montvalezan;LA ROSIERE
La Salle-Les-Alpes;SERRE CHEVALIER VILLENEUVE
La Tania;LA TANIA
LA TOUR BAS ELNE;LA TOUR BAS ELNE
La Toussuire;FONTCOUVERTE - LA TOUSSUIRE
LACANAU;LACANAU
L'Alpe-d'Huez;L'ALPE D'HUEZ
Lannion;LANNION
Lans en Vercors - St Nizier;LANS EN VERCORS - SAINT NIZIER
Lanslebourg-Mont-Cenis;VALCENIS
Laroque-des-Albères;0
Laruns;LARUNS - ARTOUSTE
Le Barcarès;PERPIGNAN LITTORAL BARCARES
Le Corbier;VILLAREMBERT - LE CORBIER
Le Dévoluy;LE DEVOLUY
Le Grand-Bornand;LE GRAND-BORNAND
LE GRAU DU ROI;LE GRAU-DU-ROI
Le Grau-du-Roi ;LE GRAU-DU-ROI
Le Pla d'Adet;SAINT LARY
LE POULIGUEN;LE POULIGUEN
Le Praz de Lys;PRAZ DE LYS SOMMAND
Le Queyras;LE QUEYRAS
Le Sauze;SAUZE-SUPER SAUZE
LE TOUQUET;LE TOUQUET
LE TREPORT - MERS LES BAINS;LE TREPORT - MERS LES BAINS
Les 2 Alpes;LES DEUX ALPES
Les 7 Laux - Le Pleynet;0
Les 7 Laux - Prapoutel;0
Les Angles - Pyrénées Orientales;LES ANGLES
Les Angles  ;LES ANGLES
Les Arcs;LES ARCS
Les Bottières;FONTCOUVERTE - LA TOUSSUIRE
Les Brévières, Tignes;TIGNES
LES CABANNES;VALLEE D'AX
Les Carroz d'Arâches;LES CARROZ
Les Carroz-d'Arâches;LES CARROZ
Les Contamines Montjoie;LES CONTAMINES MONTJOIE
Les Contamines-Montjoie;LES CONTAMINES MONTJOIE
Les Deux Alpes;LES DEUX ALPES
Les écrins;LES ECRINS
Les Gets ;LES GETS
Les Houches;LES HOUCHES
Les Issambres;ISSAMBRES
LES MATHES-ROYAN;0
Les Menuires;LES MENUIRES SITE
Les Ménuires;LES MENUIRES SITE
Les Orres;LES ORRES
Les Praz, Chamonix-Mont-Blanc;CHAMONIX
LES SABLES D'OLONNES;LES SABLES D'OLONNE
Les Saisies;LES SAISIES
Les Saisies - Hauteluce;LES SAISIES
Leucate;NARBONNE LITTORAL LEUCATE
L'ISLE SUR LA SORGUE;L'ISLE SUR LA SORGUE
Loudenvielle;PEYRAGUDES
Luchon;VALLEE DE LUCHON
Luchon - Superbagnères;VALLEE DE LUCHON
Luchon - Superbagnères - Haute Garonne;VALLEE DE LUCHON
Lugrin;0
Luz - Saint Sauveur;0
Manigod;MANIGOD
Manigod - l'Etale;MANIGOD
MANOSQUE;MANOSQUE
Marseillan ;MARSEILLAN
Marseillan Plage;MARSEILLAN
Martel-Gluges;0
Megève;MEGEVE - DEMI QUARTIER
Méjannes-le-Clap;0
Méribel;MERIBEL
Méribel - Centre;MERIBEL
Méribel - Les Allues ;MERIBEL
Méribel - Mottaret;MOTTARET
Méribel - Village;MERIBEL
MOLIETS;MOLIETS
Montalbert;MONTALBERT
Montchavin;MONTCHAVIN LA PLAGNE
Montgenèvre;MONTGENEVRE
Montpellier;MONTPELLIER
Montriond;MONTRIOND
Morillon;MORILLON
Morzine;MORZINE
Mouxy;0
MUROL;MUROL
NANCY;NANCY
Narbonne;NARBONNE VILLE
NARBONNE LITTORAL GRUISSAN;NARBONNE LITTORAL GRUISSAN
NARBONNE LITTORAL LEUCATE;NARBONNE LITTORAL LEUCATE
NARBONNE LITTORAL PORT LA NOUVELLE;NARBONNE LITTORAL PORT LA NOUVELLE
NARBONNE LITTORAL SAINT PIERRE DE LA MER;NARBONNE LITTORAL SAINT PIERRE DE LA MER
